City Pair,Passenger Total,Year,Month_num,YYYY-MM
MELBOURNE-PERTH,69365,2000,2,2000-2
MELBOURNE-SYDNEY,452738,2000,2,2000-2
PERTH-PORT HEDLAND,4386,2000,2,2000-2
PERTH-SYDNEY,76776,2000,2,2000-2
SUNSHINE COAST-MELBOURNE,1635,2000,2,2000-2
SUNSHINE COAST-SYDNEY,13104,2000,2,2000-2
SYDNEY-WAGGA WAGGA,9249,2000,2,2000-2
ADELAIDE-ALICE SPRINGS,12586,2000,3,2000-3
ADELAIDE-BRISBANE,18077,2000,3,2000-3
ADELAIDE-CANBERRA,9570,2000,3,2000-3
ADELAIDE-DARWIN,10929,2000,3,2000-3
ADELAIDE-MELBOURNE,123857,2000,3,2000-3
ADELAIDE-PERTH,35701,2000,3,2000-3
ADELAIDE-PORT LINCOLN,9487,2000,3,2000-3
ADELAIDE-SYDNEY,102787,2000,3,2000-3
ALBURY-SYDNEY,10390,2000,3,2000-3
ALICE SPRINGS-DARWIN,11730,2000,3,2000-3
ALICE SPRINGS-SYDNEY,12338,2000,3,2000-3
BALLINA-SYDNEY,8266,2000,3,2000-3
BRISBANE-CAIRNS,70837,2000,3,2000-3
BRISBANE-CANBERRA,20525,2000,3,2000-3
BRISBANE-DARWIN,10341,2000,3,2000-3
BRISBANE-HAMILTON ISLAND,9703,2000,3,2000-3
BRISBANE-MACKAY,16808,2000,3,2000-3
BRISBANE-MELBOURNE,139925,2000,3,2000-3
BRISBANE-NEWCASTLE,3236,2000,3,2000-3
BRISBANE-PERTH,5257,2000,3,2000-3
BRISBANE-PROSERPINE,5426,2000,3,2000-3
BRISBANE-ROCKHAMPTON,19603,2000,3,2000-3
BRISBANE-SYDNEY,268677,2000,3,2000-3
BRISBANE-TOWNSVILLE,38989,2000,3,2000-3
BROOME-PERTH,9664,2000,3,2000-3
CAIRNS-MELBOURNE,2840,2000,3,2000-3
CAIRNS-SYDNEY,50673,2000,3,2000-3
CAIRNS-TOWNSVILLE,11764,2000,3,2000-3
CANBERRA-MELBOURNE,70096,2000,3,2000-3
CANBERRA-SYDNEY,78498,2000,3,2000-3
COFFS HARBOUR-SYDNEY,14963,2000,3,2000-3
DARWIN-SYDNEY,7406,2000,3,2000-3
DEVONPORT-MELBOURNE,12092,2000,3,2000-3
DUBBO-SYDNEY,10890,2000,3,2000-3
GOLD COAST-SYDNEY,108235,2000,3,2000-3
HOBART-MELBOURNE,72415,2000,3,2000-3
HOBART-SYDNEY,9370,2000,3,2000-3
KALGOORLIE-PERTH,15388,2000,3,2000-3
KARRATHA-PERTH,12239,2000,3,2000-3
LAUNCESTON-MELBOURNE,42488,2000,3,2000-3
LAUNCESTON-SYDNEY,7823,2000,3,2000-3
MELBOURNE-BURNIE,8033,2000,3,2000-3
MELBOURNE-GOLD COAST,46540,2000,3,2000-3
MELBOURNE-MILDURA,9833,2000,3,2000-3
MELBOURNE-NEWCASTLE,2651,2000,3,2000-3
MELBOURNE-PERTH,82812,2000,3,2000-3
MELBOURNE-SYDNEY,503231,2000,3,2000-3
PERTH-PORT HEDLAND,5273,2000,3,2000-3
PERTH-SYDNEY,85492,2000,3,2000-3
SUNSHINE COAST-MELBOURNE,2221,2000,3,2000-3
SUNSHINE COAST-SYDNEY,14341,2000,3,2000-3
SYDNEY-WAGGA WAGGA,9816,2000,3,2000-3
ADELAIDE-ALICE SPRINGS,12574,2000,4,2000-4
ADELAIDE-BRISBANE,18488,2000,4,2000-4
ADELAIDE-CANBERRA,9099,2000,4,2000-4
ADELAIDE-DARWIN,12602,2000,4,2000-4
ADELAIDE-MELBOURNE,113962,2000,4,2000-4
ADELAIDE-PERTH,34450,2000,4,2000-4
ADELAIDE-PORT LINCOLN,9065,2000,4,2000-4
